Date,Open,High,Low,Close,Adj Close,Volume
2019-04-11,81.849998,82.300003,80.827003,81.790001,81.790001,422700
2019-04-12,82.989998,84.000000,80.500000,83.379997,83.379997,772400
2019-04-15,83.099998,85.559998,83.049004,84.440002,84.440002,627800
2019-04-16,84.949997,85.250000,82.180000,82.870003,82.870003,550100
2019-04-17,83.500000,83.500000,80.419998,82.209999,82.209999,572400
2019-04-18,81.849998,82.559998,79.160004,80.870003,80.870003,726000
2019-04-22,80.790001,84.099998,80.339996,83.650002,83.650002,525700
2019-04-23,83.849998,85.149002,83.000000,83.570000,83.570000,608700
2019-04-24,84.160004,87.269997,84.160004,86.430000,86.430000,1266500
2019-04-25,87.290001,89.625000,85.160004,85.559998,85.559998,1032400
2019-04-26,85.570000,87.239998,84.489998,86.760002,86.760002,660300
2019-04-29,86.980003,91.070000,86.980003,88.290001,88.290001,1301400
2019-04-30,87.849998,89.580002,86.930000,88.639999,88.639999,763900
2019-05-01,88.959999,89.540001,86.180000,87.510002,87.510002,1354900
2019-05-02,87.940002,98.849998,87.010002,95.459999,95.459999,3000700
2019-05-03,95.970001,98.800003,95.529999,98.370003,98.370003,2848000
2019-05-06,94.629997,98.900002,91.059998,92.360001,92.360001,2671200
2019-05-07,92.059998,92.955002,88.613998,90.050003,90.050003,1339300
2019-05-08,89.430000,90.000000,85.370003,87.480003,87.480003,1792400
2019-05-09,86.610001,89.110001,85.070000,88.849998,88.849998,1245500
2019-05-10,88.709999,90.230003,85.807999,88.510002,88.510002,1077600
2019-05-13,85.599998,87.269997,83.269997,83.809998,83.809998,978800
2019-05-14,84.500000,88.364998,84.500000,87.970001,87.970001,690200
2019-05-15,87.279999,89.480003,85.029999,88.040001,88.040001,866400
2019-05-16,88.989998,90.803001,88.499001,90.199997,90.199997,1002400
2019-05-17,89.190002,90.195999,88.129997,88.400002,88.400002,601600
2019-05-20,87.360001,88.720001,85.680000,88.110001,88.110001,609300
2019-05-21,88.989998,89.922997,88.269997,89.739998,89.739998,532700
2019-05-22,89.150002,91.440002,89.000000,89.199997,89.199997,892500
2019-05-23,87.800003,88.110001,83.402000,85.029999,85.029999,1149000
2019-05-24,85.500000,87.150002,84.171997,86.290001,86.290001,1011600
2019-05-28,86.660004,90.699997,86.580002,89.239998,89.239998,1831000
2019-05-29,88.459999,90.169998,87.730003,88.110001,88.110001,1147400
2019-05-30,88.519997,88.690002,85.559998,87.930000,87.930000,845300
2019-05-31,86.849998,87.779999,85.500000,86.860001,86.860001,1003800
2019-06-03,87.010002,87.730003,80.680000,81.870003,81.870003,1516200
2019-06-04,82.779999,85.599998,81.430000,85.419998,85.419998,1306600
2019-06-05,86.029999,87.150002,84.379997,86.669998,86.669998,763600
2019-06-06,86.209999,91.489998,84.117996,91.220001,91.220001,1931700
2019-06-07,92.839996,99.809998,92.839996,95.150002,95.150002,2725200
2019-06-10,98.750000,106.250000,96.970001,97.809998,97.809998,3025100
2019-06-11,98.199997,99.849998,93.709999,95.779999,95.779999,1948100
2019-06-12,96.589996,107.080002,95.779999,104.459999,104.459999,3107500
2019-06-13,104.599998,104.829002,101.959999,102.129997,102.129997,1856100
2019-06-14,102.480003,104.790001,100.349998,104.110001,104.110001,1110500
2019-06-17,105.059998,107.989998,104.349998,106.639999,106.639999,1000400
2019-06-18,107.629997,109.500999,106.150002,106.360001,106.360001,1056000
2019-06-19,107.449997,109.209999,105.250000,109.050003,109.050003,752000
2019-06-20,110.500000,111.889999,108.209999,109.980003,109.980003,1148200
2019-06-21,109.500000,110.000000,106.690002,108.019997,108.019997,1072800
2019-06-24,108.559998,108.584999,104.480003,106.209999,106.209999,981400
2019-06-25,106.500000,107.128998,103.370003,104.120003,104.120003,910700
2019-06-26,105.660004,106.800003,103.313004,105.519997,105.519997,799200
2019-06-27,106.320000,108.660004,105.849998,107.529999,107.529999,679300
2019-06-28,109.209999,109.839996,107.915001,109.120003,109.120003,4231100
2019-07-01,110.959999,111.889999,105.750000,108.419998,108.419998,1050900
2019-07-02,108.599998,111.870003,108.434998,111.440002,111.440002,1254000
2019-07-03,111.970001,115.599998,111.870003,115.309998,115.309998,1659800
2019-07-05,114.059998,116.599998,111.769997,115.980003,115.980003,1427200
2019-07-08,115.190002,117.971001,114.769997,116.760002,116.760002,1113600
2019-07-09,116.269997,118.053001,115.209999,117.449997,117.449997,845600
2019-07-10,118.000000,119.260002,116.830002,117.320000,117.320000,898000
2019-07-11,117.949997,118.260002,113.129997,114.510002,114.510002,1753700
2019-07-12,114.800003,115.750999,113.470001,115.000000,115.000000,641100
2019-07-15,115.000000,117.699997,113.809998,116.779999,116.779999,1335500
2019-07-16,116.779999,117.279999,114.235001,114.540001,114.540001,596100
2019-07-17,115.070000,118.059998,114.489998,117.209999,117.209999,681300
